7368 2 
1,52,
100,100,
0.09,0.36,
100,100,
0.15,0.19,
100,100,
0.17,0.35,
100,100,
0.04,0.2,
100,100,
0.04,0.09,
100,100,
0.23,0.25,
100,100,
0.06,0.16,
100,100,
0.08,0.19,
100,100,
0.11,0.11,
100,100,
0.03,0.14,
100,100,
0.04,0.08,
100,100,
0.04,0.15,
100,100,
0.1,0.23,
100,100,
0.21,0.23,
100,100,
0.1,0.25,
100,100,
0.05,0.13,
100,100,
0.06,0.11,
100,100,
0.04,0.12,
100,100,
0.01,0.02,
100,100,
0.04,0.16,
100,100,
0.03,0.12,
100,100,
0.1,0.17,
100,100,
0.06,0.16,
100,100,
0.05,0.15,
100,100,
0.14,0.11,
100,100,
0.1,0.11,
100,100,
0.08,0.2,
100,100,
0.06,0.1,
100,100,
0.19,0.16,
100,100,
0.16,0.13,
100,100,
0.1,0.1,
100,100,
0.17,0.22,
100,100,
0.09,0.1,
100,100,
0.11,0.22,
100,100,
0.15,0.17,
100,100,
0.14,0.2,
100,100,
0.1,0.09,
100,100,
0.06,0.07,
100,100,
0.15,0.12,
100,100,
0.03,0.08,
100,100,
0.19,0.19,
100,100,
0.15,0.11,
100,100,
0.16,0.13,
100,100,
0.08,0.07,
100,100,
0.12,0.1,
100,100,
0.09,0.09,
100,100,
0.14,0.1,
100,100,
0.1,0.7,
100,100,
0.11,0.21,
100,100,
0.08,0.12,
100,100,
0.1,0.16,
100,100,
0.06,0.09,
100,100,
0.19,0.18,
100,100,
0.21,0.14,
100,100,
0.15,0.16,
100,100,
0.09,0.13,
100,100,
0.1,0.21,
100,100,
0.15,0.12,
100,100,
0.11,0.24,
100,100,
0.21,0.15,
100,100,
0.18,0.2,
100,100,
0.06,0.09,
100,100,
0.09,0.13,
100,100,
0.14,0.2,
100,100,
0.1,0.08,
100,100,
0.15,0.21,
100,100,
0.21,0.14,
100,100,
0.09,0.2,
100,100,
0.14,0.13,
100,100,
0.17,0.18,
100,100,
0.1,0.15,
100,100,
