7368 2 
1,52,
100,100,
0.31,0.33,
100,100,
0.18,0.2,
100,100,
0.34,0.33,
100,100,
0.2,0.16,
100,100,
0.07,0.08,
100,100,
0.29,0.25,
100,100,
0.13,0.15,
100,100,
0.24,0.19,
100,100,
0.12,0.15,
100,100,
0.11,0.12,
100,100,
0.07,0.05,
100,100,
0.15,0.17,
100,100,
0.23,0.16,
100,100,
0.22,0.16,
100,100,
0.22,0.21,
100,100,
0.14,0.13,
100,100,
0.12,0.08,
100,100,
0.1,0.12,
100,100,
0.01,0.02,
100,100,
0.15,0.16,
100,100,
0.12,0.12,
100,100,
0.26,0.12,
100,100,
0.16,0.16,
100,100,
0.1,0.11,
100,100,
0.13,0.24,
100,100,
0.12,0.07,
100,100,
0.25,0.19,
100,100,
0.3,0.1,
100,100,
0.17,0.13,
100,100,
0.18,0.12,
100,100,
0.15,0.05,
100,100,
0.15,0.22,
100,100,
0.13,0.08,
100,100,
0.17,0.19,
100,100,
0.3,0.17,
100,100,
0.24,0.26,
100,100,
0.16,0.12,
100,100,
0.13,0.05,
100,100,
0.15,0.12,
100,100,
0.05,0.06,
100,100,
0.27,0.23,
100,100,
0.15,0.04,
100,100,
0.17,0.08,
100,100,
0.12,0.04,
100,100,
0.14,0.07,
100,100,
0.16,0.11,
100,100,
0.14,0.11,
100,100,
0.42,0.16,
100,100,
0.44,0.18,
100,100,
0.28,0.11,
100,100,
0.19,0.15,
100,100,
0.31,0.1,
100,100,
0.23,0.19,
100,100,
0.24,0.2,
100,100,
0.35,0.14,
100,100,
0.22,0.11,
100,100,
0.39,0.16,
100,100,
0.29,0.13,
100,100,
0.51,0.24,
100,100,
0.24,0.12,
100,100,
0.24,0.18,
100,100,
0.25,0.06,
100,100,
0.41,0.23,
100,100,
0.32,0.2,
100,100,
0.24,0.06,
100,100,
0.29,0.16,
100,100,
0.21,0.09,
100,100,
0.27,0.16,
100,100,
0.23,0.08,
100,100,
0.26,0.16,
100,100,
0.18,0.11,
100,100,
