439 2 
1,52,
100,100,
0.7,0.2,
100,100,
0.2,0.2,
100,100,
1.1,1,
100,100,
3.4,4.5,
100,100,
5.4,14.3,
100,100,
1.2,2.8,
100,100,
0.3,0.5,
100,100,
0.1,0.1,
100,100,
0.2,0.2,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
100,100,
4,0.1,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
100,100,
0.2,0.2,
100,100,
0.2,0.1,
100,100,
0.2,0.2,
100,100,
0.4,0.5,
100,100,
0.4,0.5,
100,100,
0.2,0.2,
100,100,
0.3,0.3,
100,100,
0.2,0.2,
100,100,
0.5,33.5,
100,100,
0.4,0.5,
100,100,
0.2,0.2,
100,100,
0.2,0.2,
100,100,
99.4,99.6,
100,100,
0.2,0.2,
100,100,
0.1,0.1,
100,100,
0.2,0.1,
100,100,
0.1,0.1,
100,100,
0.2,0.4,
100,100,
0.4,0.5,
100,100,
0.5,0.6,
100,100,
3.5,3.6,
100,100,
6.7,7.3,
100,100,
9.2,9.8,
100,100,
13,13.2,
100,100,
15.1,15.2,
100,100,
1.3,1.2,
100,100,
0.8,0.8,
100,100,
0.6,0.5,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
100,100,
0.7,14,
100,100,
99.4,99.6,
100,100,
0.4,0.2,
100,100,
0.2,0.1,
100,100,
0.2,1.2,
100,100,
0.2,0.2,
100,100,
0.2,0.2,
100,100,
0.2,0.2,
100,100,
0.2,0.2,
100,100,
0.4,0.5,
100,100,
0.9,1.1,
100,100,
1.2,1.5,
100,100,
0.2,0.2,
100,100,
0.1,0.1,
100,100,
0.2,0.1,
100,100,
0.2,0.2,
100,100,
0.2,0.2,
100,100,
0.2,0.2,
100,100,
0.2,0.2,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
