439 2 
1,52,
100,100,
0.2,0.1,
100,100,
0.2,0.1,
100,100,
1.1,1.8,
100,100,
4.7,5.2,
100,100,
9.2,3.3,
100,100,
2,0.5,
100,100,
0.4,0.1,
100,100,
6.4,10.9,
100,100,
0.2,0.1,
100,100,
0.6,0,
100,100,
0.1,0.5,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
100,100,
0.1,0.2,
100,100,
0.1,0.1,
100,100,
0.1,0.2,
100,100,
0.1,1.6,
100,100,
0.2,0.1,
100,100,
0.1,0.1,
100,100,
0.2,0.1,
100,100,
0.4,0.4,
100,100,
0.4,0.4,
100,100,
0.2,0.1,
100,100,
0.4,0.2,
100,100,
0.2,0.2,
100,100,
0.4,0.2,
100,100,
0.4,0.2,
100,100,
0.2,0.1,
100,100,
0.2,0.2,
100,100,
17.8,35.8,
100,100,
0.6,0.1,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
100,100,
8.4,0.1,
100,100,
0.2,0.3,
100,100,
0.4,0.4,
100,100,
0.5,0.4,
100,100,
3.6,3.4,
100,100,
7.1,7.1,
100,100,
9.5,9.6,
100,100,
13.5,12.6,
100,100,
15.6,14.5,
100,100,
1.3,0.8,
100,100,
0.9,0.6,
100,100,
0.7,0.5,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
100,100,
0,24.8,
100,100,
76.5,56.2,
100,100,
0.6,0.1,
100,100,
0.1,0.2,
100,100,
0.1,0.2,
100,100,
0.2,0.1,
100,100,
0.2,0.3,
100,100,
10.6,1.6,
100,100,
0.4,0.3,
100,100,
0.9,0.9,
100,100,
1.3,1.3,
100,100,
0.2,0.1,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
100,100,
0.3,1.7,
100,100,
0.2,1.6,
100,100,
0.2,1.6,
100,100,
0.2,1.7,
100,100,
0.1,1.6,
100,100,
0.2,1.6,
100,100,
0.1,0.1,
100,100,
0.1,0.1,
